gene_id,module,kTotal_input,kWithin_input,kOut_input,kDiff_input,kTotal_output,kWithin_output,kOut_output,kDiff_output,gene
ENSG00000012963.14,34,307.0323171,139.2179855,167.8143316,-28.59634605,139.2179855,139.2179855,0,139.2179855,UBR7
ENSG00000012983.11,34,28.86094459,27.75618328,1.104761313,26.65142197,27.75618328,27.75618328,0,27.75618328,MAP4K5
ENSG00000013275.7,34,121.1154622,117.1486672,3.96679506,113.1818721,117.1486672,117.1486672,0,117.1486672,PSMC4
ENSG00000013288.8,34,227.1999288,143.6020811,83.59784773,60.00423339,143.6020811,143.6020811,0,143.6020811,MAN2B2
ENSG00000013364.18,72,139.3780951,107.2097731,32.16832192,75.04145122,192.7905322,192.7905322,0,192.7905322,MVP
ENSG00000013374.15,34,132.8232039,124.6874637,8.135740255,116.5517234,124.6874637,124.6874637,0,124.6874637,NUB1
ENSG00000013375.15,34,107.5756892,71.98828717,35.58740206,36.40088511,71.98828717,71.98828717,0,71.98828717,PGM3
ENSG00000013441.15,34,31.14424803,21.55144867,9.592799361,11.95864931,21.55144867,21.55144867,0,21.55144867,CLK1
ENSG00000013503.9,34,101.499398,80.78064847,20.71874949,60.06189897,80.78064847,80.78064847,0,80.78064847,POLR3B
ENSG00000013523.9,34,179.7695007,174.8379976,4.931503151,169.9064944,174.8379976,174.8379976,0,174.8379976,ANGEL1
ENSG00000013725.14,34,63.15994905,63.13382484,0.026124203,63.10770064,63.13382484,63.13382484,0,63.13382484,CD6
ENSG00000013810.18,72,131.260799,107.0151067,24.24569229,82.76941444,184.6955796,184.6955796,0,184.6955796,TACC3
ENSG00000014123.9,72,219.4423463,134.1242524,85.31809393,48.80615846,204.8141429,204.8141429,0,204.8141429,UFL1
ENSG00000014138.8,34,86.06257231,82.18176662,3.880805692,78.30096093,82.18176662,82.18176662,0,82.18176662,POLA2
ENSG00000014216.15,34,108.9594279,34.86853771,74.09089019,-39.22235248,34.86853771,34.86853771,0,34.86853771,CAPN1
ENSG00000014257.15,72,53.38794965,49.82234882,3.565600831,46.25674799,133.6361711,133.6361711,0,133.6361711,ACPP
ENSG00000014641.17,34,143.8854174,121.1493096,22.73610782,98.4132018,121.1493096,121.1493096,0,121.1493096,MDH1
ENSG00000014824.13,72,240.6165841,161.7418854,78.87469865,82.86718677,232.8213413,232.8213413,0,232.8213413,SLC30A9
ENSG00000014919.12,72,245.4369293,206.5955551,38.84137424,167.7541808,328.7511479,328.7511479,0,328.7511479,COX15
ENSG00000015133.18,34,210.9427155,209.9422428,1.000472679,208.9417701,209.9422428,209.9422428,0,209.9422428,CCDC88C
ENSG00000015153.14,34,138.2169459,105.0443069,33.17263896,71.87166796,105.0443069,105.0443069,0,105.0443069,YAF2
ENSG00000015171.19,34,171.2298027,165.3158906,5.913912157,159.4019784,165.3158906,165.3158906,0,165.3158906,ZMYND11
ENSG00000015475.18,72,67.73612853,57.61701543,10.11911311,47.49790232,123.7361894,123.7361894,0,123.7361894,BID
ENSG00000015479.18,34,83.78010674,76.47225633,7.307850408,69.16440592,76.47225633,76.47225633,0,76.47225633,MATR3
ENSG00000015532.9,34,153.8297359,148.4820507,5.347685254,143.1343654,148.4820507,148.4820507,0,148.4820507,XYLT2
ENSG00000015676.17,34,248.4274228,230.0944275,18.33299529,211.7614322,230.0944275,230.0944275,0,230.0944275,NUDCD3
ENSG00000016864.18,72,258.341764,124.6588039,133.6829601,-9.024156214,206.3736148,206.3736148,0,206.3736148,GLT8D1
ENSG00000017260.19,34,266.0402691,130.5994204,135.4408486,-4.841428187,130.5994204,130.5994204,0,130.5994204,ATP2C1
ENSG00000017797.12,72,60.59871383,55.67215989,4.926553945,50.74560594,152.3441716,152.3441716,2.84E-14,152.3441716,RALBP1
ENSG00000018189.12,34,128.6467546,123.1932797,5.453474811,117.7398049,123.1932797,123.1932797,0,123.1932797,RUFY3
ENSG00000018510.13,34,168.2539663,96.18737443,72.06659182,24.12078261,96.18737443,96.18737443,0,96.18737443,AGPS
ENSG00000018699.11,34,129.3795883,127.3110411,2.06854729,125.2424938,127.3110411,127.3110411,0,127.3110411,TTC27
ENSG00000019995.6,72,28.89963835,22.56806532,6.331573026,16.2364923,56.93738628,56.93738628,8.03E-13,56.93738628,ZRANB1
ENSG00000020129.15,34,86.9849082,86.11547886,0.869429341,85.24604952,86.11547886,86.11547886,0,86.11547886,NCDN
ENSG00000020426.10,34,46.46130616,45.53948969,0.921816469,44.61767322,45.53948969,45.53948969,0,45.53948969,MNAT1
ENSG00000020633.18,34,59.84181603,59.77650917,0.065306862,59.71120231,59.77650917,59.77650917,7.11E-15,59.77650917,RUNX3
ENSG00000020922.12,34,191.6994921,143.5410603,48.15843188,95.38262839,143.5410603,143.5410603,0,143.5410603,MRE11
ENSG00000021355.12,72,56.1406684,55.38837989,0.752288512,54.63609138,77.20045304,77.20045304,0,77.20045304,SERPINB1
ENSG00000021574.11,72,257.5762966,247.245789,10.3305076,236.9152814,356.4994972,356.4994972,0,356.4994972,SPAST
ENSG00000021762.19,34,49.91157614,49.83143574,0.080140404,49.75129534,49.83143574,49.83143574,2.84E-14,49.83143574,OSBPL5
ENSG00000021776.10,34,265.5461722,153.2331879,112.3129843,40.92020355,153.2331879,153.2331879,0,153.2331879,AQR
ENSG00000022277.12,72,130.9447241,110.904099,20.04062502,90.86347402,162.6737803,162.6737803,0,162.6737803,RTFDC1
ENSG00000022976.15,72,145.4295418,102.5837706,42.84577115,59.73799948,208.014746,208.014746,0,208.014746,ZNF839
ENSG00000023041.11,72,366.6002923,227.9426016,138.6576906,89.28491098,338.82489,338.82489,0,338.82489,ZDHHC6
ENSG00000023191.16,34,74.82342016,73.25839103,1.565029129,71.6933619,73.25839103,73.25839103,0,73.25839103,RNH1
ENSG00000023228.13,34,249.2666846,93.22125406,156.0454305,-62.82417647,93.22125406,93.22125406,0,93.22125406,NDUFS1
ENSG00000023287.12,72,157.9095063,150.1031889,7.806317466,142.2968714,213.3024781,213.3024781,5.68E-14,213.3024781,RB1CC1
ENSG00000023318.7,72,213.1706611,141.2409397,71.92972142,69.3112183,215.7590719,215.7590719,0,215.7590719,ERP44
ENSG00000023445.13,34,46.17296227,45.40384152,0.769120751,44.63472077,45.40384152,45.40384152,0,45.40384152,BIRC3
ENSG00000023516.8,34,209.7128685,183.7111096,26.00175884,157.7093508,183.7111096,183.7111096,0,183.7111096,AKAP11
ENSG00000023697.12,72,181.9606322,166.6720917,15.28854044,151.3835513,293.7137989,293.7137989,0,293.7137989,DERA
ENSG00000023734.10,34,233.6743999,147.098256,86.57614391,60.52211213,147.098256,147.098256,0,147.098256,STRAP
ENSG00000023892.10,34,86.98094039,59.37596584,27.60497455,31.77099129,59.37596584,59.37596584,0,59.37596584,DEF6
ENSG00000023909.9,72,61.40637869,57.10755244,4.298826254,52.80872618,120.8471139,120.8471139,1.42E-14,120.8471139,GCLM
ENSG00000024048.10,72,201.8626181,186.7871737,15.07544448,171.7117292,293.4119876,293.4119876,0,293.4119876,UBR2
ENSG00000024862.17,72,125.5356035,109.8038259,15.73177764,94.07204823,214.7008062,214.7008062,0,214.7008062,CCDC28A
ENSG00000025156.12,34,149.6540798,143.3597909,6.294288813,137.0655021,143.3597909,143.3597909,0,143.3597909,HSF2
ENSG00000025293.16,34,59.62072631,53.38129448,6.23943183,47.14186265,53.38129448,53.38129448,0,53.38129448,PHF20
ENSG00000025770.18,34,113.0313346,112.7884968,0.242837778,112.545659,112.7884968,112.7884968,0,112.7884968,NCAPH2
ENSG00000025772.7,34,119.4557523,118.2237568,1.231995452,116.9917614,118.2237568,118.2237568,0,118.2237568,TOMM34
ENSG00000025796.13,34,138.0102044,121.0744987,16.93570563,104.1387931,121.0744987,121.0744987,0,121.0744987,SEC63
ENSG00000025800.13,34,226.8129762,166.0975847,60.71539156,105.3821931,166.0975847,166.0975847,0,166.0975847,KPNA6
ENSG00000026025.15,34,40.43605794,15.24747384,25.1885841,-9.941110254,15.24747384,15.24747384,0,15.24747384,VIM
ENSG00000026103.21,72,147.3451523,140.7745595,6.570592775,134.2039668,295.2229817,295.2229817,0,295.2229817,FAS
ENSG00000026297.15,72,78.25849485,68.53578621,9.72270863,58.81307758,164.2795944,164.2795944,0,164.2795944,RNASET2
ENSG00000026751.16,34,36.50060179,36.36257926,0.138022525,36.22455674,36.36257926,36.36257926,0,36.36257926,SLAMF7
